年月日,平均気温(℃),天気概況(昼：06時～18時),天気概況(夜：18時～翌日06時),平均蒸気圧(hPa),平均湿度(％),平均現地気圧(hPa),平均海面気圧(hPa),最低海面気圧(hPa),最小相対湿度(％),日照時間(時間),合計全天日射量(MJ/㎡),降水量の合計(mm),10分間降水量の最大(mm),最高気温(℃),最低気温(℃),最深積雪(cm),降雪量合計(cm),平均風速(m/s),最大風速(m/s),最大風速(m/s),最大瞬間風速(m/s),最大瞬間風速(m/s),最多風向(16方位)
2022/7/12,23.1,曇後一時雨一時晴,雨,24.3,86,1004.8,1009.9,1008.7,72,2.1,16.99,2,0.5,27.2,20.2,0,0,5.5,8.8,東南東,14,東南東,東
2022/7/13,20.9,雨後時々曇,曇時々雨,21.4,87,1004.9,1010,1009,64,0.3,10.01,9,0.5,23.7,19.5,0,0,4.2,6.5,東,9.2,東南東,東南東
2022/7/14,21.1,曇後時々晴,曇時々雨,19.8,79,1003,1008.1,1006.6,61,3.5,17.02,0,0,24.9,18.4,0,0,5.4,8.9,東南東,12.1,東南東,東南東
2022/7/15,19,雨時々曇,雨時々曇,20.3,92,1000.9,1006,1004.9,80,0,3.54,3.5,1,20.3,18.2,0,0,7.1,9.3,東南東,16,東南東,東南東
2022/7/16,18.6,雨時々曇,曇時々雨,19.7,92,1002.5,1007.6,1006,83,0,4.46,7.5,1,19.2,18.2,0,0,7.2,9.5,東,14.9,東,東南東
2022/7/17,19.7,雨時々曇,曇一時雨後霧,20.9,91,997,1002.1,1000.2,75,0,4.31,14,1.5,21.6,18.1,0,0,1.9,5.8,東,10,東,西
2022/7/18,21.4,曇後一時晴,晴時々曇,21.5,85,997.6,1002.7,1000.9,67,1.4,13.57,0,0,25.1,17.3,0,0,2.1,4.8,北西,7.6,西,北西
2022/7/19,22.2,曇一時晴後時々雨,雨時々曇、雷を伴う,23.1,86,997.7,1002.7,1000.3,66,1.8,14.81,2,1,28,18.6,0,0,3.1,6.3,東,9.6,東,東
2022/7/20,21.2,雨後曇時々晴,曇,23,91,998.3,1003.4,999.5,79,0.7,9.34,9.5,2,23.7,19.5,0,0,1.8,7.7,東南東,11.3,東南東,東南東
2022/7/21,23,晴,曇時々晴,23.6,85,1000,1005.1,1004.1,69,10.8,25.69,0,0,26.5,19.6,0,0,2.3,4.7,南南東,7.4,南東,南南東
2022/7/22,21.5,雨時々曇,雨時々曇,22.7,89,999,1004.1,1002.3,77,0,6.66,1,0.5,24.2,20,0,0,2.7,5.8,東北東,8.9,東北東,東
2022/7/23,21.3,雨時々曇,曇時々雨,22.4,88,997.8,1002.9,1001.2,79,0,5.85,1.5,0.5,23.1,20.1,0,0,1.9,5,東北東,10.1,東北東,西北西
2022/7/24,21.6,曇後一時雨,曇時々晴,21,82,1002.4,1007.4,1004.8,67,1.6,12.63,0,0,24.6,18.3,0,0,2.7,5.8,西南西,8.3,西南西,西北西
2022/7/25,22.2,晴一時曇,曇時々晴,21.9,82,1005.8,1010.8,1009.7,64,8.3,23.62,0,0,26.2,17.5,0,0,1.7,5.1,南南東,7.8,南南東,南南東
2022/7/26,23.6,晴一時曇,曇時々晴,23.2,80,1006.1,1011.1,1010.2,65,10.5,24.93,0,0,27.3,20.7,0,0,1.8,4,南南東,5.9,南南東,南
2022/7/27,23.2,曇一時雨後晴,晴一時雨、霧を伴う,24.6,87,1007.1,1012.2,1011.1,72,6.9,18.55,0,0,26.8,21.4,0,0,1.8,4.1,南南東,5.7,南南西,南南東
2022/7/28,24.1,晴,晴後一時曇,23.5,80,1009.6,1014.6,1012.8,58,12.3,25.69,0,0,28.7,19.9,0,0,1.9,3.9,南南東,6,南東,南南東
2022/7/29,24.1,晴,晴時々曇,23.7,80,1011.5,1016.5,1015.3,62,12.2,25.52,0,0,29,19.6,0,0,1.7,3.9,南南東,5.9,西南西,南南東
2022/7/30,24.5,晴,晴後時々曇,24.7,81,1009.1,1014.2,1012.2,65,13.5,27.11,0,0,29.2,20.8,0,0,2.2,4.8,北西,6.6,南西,南南東
2022/7/31,25.8,曇後一時雨一時晴,雨時々曇,26.1,79,1006.8,1011.8,1010.6,61,3.2,14.55,0,0,30.7,21.5,0,0,4,9.6,西,14,西,西北西
2022/8/1,22.1,大雨,雨時々曇,25.7,96,1007.5,1012.6,1009.3,86,0,2.86,67,4,25.1,20.9,0,0,3.2,6.8,東南東,10.8,東南東,東南東
2022/8/2,25.4,晴時々曇一時雨,曇後時々雨,26.5,82,1003.8,1008.8,1006.5,65,9.5,24.91,7,3,29.3,21.8,0,0,4.4,9.9,西北西,13.7,西北西,西
2022/8/3,21.2,曇時々雨,曇時々雨一時晴,22.4,89,1004.6,1009.7,1008.4,76,0,8.33,13,2,23.8,19.6,0,0,4.3,6.5,東,10.4,東,東南東
2022/8/4,20.9,曇一時雨後晴,曇時々雨,19.4,79,1006.2,1011.3,1010.3,62,1.3,12.28,0,0,24.6,19.1,0,0,4.3,7.1,東南東,10.1,南東,東
2022/8/5,20.3,曇一時雨後時々晴,曇時々晴,18.5,78,1005.6,1010.7,1009.8,60,3.2,12.3,0,0,24.1,19,0,0,4.8,7.4,東南東,10.7,東南東,東
2022/8/6,21.4,曇,曇時々雨,19.7,78,1006,1011,1010.2,65,2.9,15.36,0,0,24.6,19,0,0,4.5,6.7,東南東,9.7,東南東,東
2022/8/7,22.8,曇時々雨一時晴,曇時々雨,23.8,86,1005.7,1010.7,1009.3,70,2.6,13.37,6.5,3.5,27.2,20.7,0,0,3.4,5.9,東,8.7,東,東
2022/8/8,25.4,曇時々雨,大雨時々曇、雷を伴う,29.1,90,1001.5,1006.5,1003.1,73,1.6,10.7,104.5,19.5,30,21.5,0,0,4.4,10.6,南西,20,南西,南西
2022/8/9,24.1,雨時々曇,雨時々曇,27.9,93,999.2,1004.2,1002.1,85,0,4.71,10,2,26,22.1,0,0,2.5,8.1,西,12,南西,南西
2022/8/10,21.8,雨,雨時々曇一時晴,25.2,96,1001.5,1006.6,1004.9,85,0,3.58,20.5,3,22.5,21.1,0,0,1.7,4.4,東南東,6.1,南西,南東
2022/8/11,22.8,曇一時晴後雨,大雨後時々曇、雷を伴う,25.9,93,1001.7,1006.8,1003.7,76,0.2,8.27,66,7.5,25.7,21.3,0,0,1.9,5.8,西,9.4,西,東
2022/8/12,24.6,曇一時雨後晴,晴,26.9,88,999.4,1004.3,1001.7,67,6.8,17.75,15.5,3,28.6,21.6,0,0,2,4.8,南南東,6.6,南,南南東
2022/8/13,24.5,晴時々曇一時雨,曇時々雨,23.6,77,1001.9,1006.9,1006.1,57,10.4,23.02,0,0,29,20.6,0,0,2.4,6.3,西南西,9.3,西南西,北北東
2022/8/14,23.4,曇一時雨後晴,曇,21.3,75,1001.1,1006.1,1004.6,54,7.1,18.77,0.5,0.5,28.1,19.8,0,0,2.6,5.6,西,8.5,西北西,北北東
2022/8/15,22.4,曇後時々雨,雨,22.6,84,999.5,1004.5,997.6,64,1.5,11.09,10,1.5,26.2,19.5,0,0,2.6,9.2,東南東,14.1,南東,東南東
2022/8/16,24.2,大雨時々曇,晴一時曇,27,89,990.2,995.1,991,78,0.4,6.03,53.5,8.5,27.3,21.7,0,0,5.5,11.4,南西,18.5,西南西,南西
2022/8/17,23.7,晴,曇時々晴,20.9,72,1003.6,1008.7,1002,46,12.5,25.6,0,0,28.6,19.7,0,0,3.1,6.1,北西,9.2,東南東,西北西
2022/8/18,20,雨時々曇,雨時々曇後晴,19.8,85,1000.5,1005.6,1002.3,67,0,3.1,25,1.5,22.5,17.7,0,0,3.9,7.8,東,12.8,東,東
2022/8/19,22.6,晴,曇後時々雨,20,74,997.6,1002.7,1001.7,53,11.8,24.29,0,0,28.3,16.1,0,0,3.9,9.3,西,13.6,西北西,西北西
2022/8/20,22.5,雨後時々曇一時晴,晴,24.2,89,994.4,999.4,996.9,74,0.6,4.61,10,1,25.7,20.6,0,0,2.3,5.7,西,8.7,西,西
2022/8/21,22.5,晴,晴,19.6,73,1000.7,1005.7,1001.3,46,13.1,24.94,0,0,28.6,15.3,0,0,2.4,6.2,南西,8.8,西南西,北北東
2022/8/22,23.1,曇時々晴,曇後時々雨,19.9,71,1003.2,1008.2,1004.1,43,8.2,19.27,0,0,29,16.6,0,0,3.8,7.4,東,11.2,東,東
2022/8/23,23.8,曇後時々雨,晴,23.6,80,996.6,1001.6,999,60,0.6,5.34,2.5,1.5,28.1,17.9,0,0,3.5,7.1,西,9.9,西,西
2022/8/24,21.3,晴,晴後一時曇,16.5,68,1002.1,1007.2,1003.9,34,12.8,24.69,0,0,26.8,16.5,0,0,4.1,9.3,西北西,14.5,西北西,西
2022/8/25,21,晴後時々曇,曇後時々雨,18.1,73,1002.3,1007.4,1005.8,51,10.2,23.13,0,0,25.8,14,0,0,2.7,5.3,南東,8.1,南南東,南南東
2022/8/26,21.4,曇後晴一時雨,晴一時雨後曇,19.7,78,1002.1,1007.2,1005.5,49,3.7,8.95,0,0,25.5,18.3,0,0,1.6,3.6,北東,5,南東,北北東
2022/8/27,22.7,曇時々雨,雨時々曇,23.4,85,1001.5,1006.5,1004.8,74,0,5.61,1,0.5,25.2,19.6,0,0,3.4,6.7,東南東,10.3,東南東,東南東
2022/8/28,20.6,曇一時雨後一時晴,晴時々曇一時雨,17.8,74,1006.7,1011.9,1007,46,3.7,13.29,0,0,24,16,0,0,3.2,7.5,西,11.2,西南西,西南西
2022/8/29,20,曇時々晴,曇一時雨,16.6,72,1013.9,1019,1016.4,45,5.8,16.13,0,0,25,14.2,0,0,2.2,4.6,東北東,6.4,東北東,東
2022/8/30,21.4,曇時々雨,雨,20.9,82,1010,1015.1,1013.4,66,0.4,8.59,4,1,24.8,19.1,0,0,1.9,4.6,東,7.4,東,東北東
2022/8/31,20.1,大雨,曇時々雨,22.4,95,1003.4,1008.5,1001.9,80,0,1.99,65,2.5,23.1,17.8,0,0,2.9,6.7,東南東,10.8,北東,東
2022/9/1,22.7,曇後一時晴,曇後一時晴,22.3,82,1004.5,1009.6,1006,62,3.6,15.67,0,0,27.4,19.2,0,0,2.5,5.3,南西,7.4,南南西,西
2022/9/2,19.9,曇一時雨,曇後一時晴,16.3,71,1012,1017.2,1013.3,41,5.9,16.68,0,0,24.1,14.7,0,0,3.4,7.6,西,9.7,西北西,西北西
2022/9/3,18.1,曇,曇,15.6,76,1013.9,1019.1,1017.8,58,1.7,11.53,0,0,22.6,13.7,0,0,1.8,4,南,6.1,南南東,北北東
2022/9/4,21.3,晴,曇時々晴,19.5,78,1013.1,1018.2,1016.9,55,10.3,21.09,0,0,27.1,16.3,0,0,3.5,6.8,東南東,9.7,東南東,東南東
2022/9/5,21.8,曇時々雨一時晴,曇時々晴,21.8,84,1010.6,1015.7,1013.8,73,0.4,8.36,0,0,24.4,19.8,0,0,4.5,8.1,東南東,11,東,東
2022/9/6,24.2,曇時々晴,曇時々晴一時雨,24.8,82,1003.1,1008.1,1003.2,70,8.4,17.74,0.5,0.5,27.7,20,0,0,6,11.4,南南西,19.8,南西,東南東
2022/9/7,23.5,晴,晴,17.8,62,1008.5,1013.6,1006.4,41,11.8,22.2,0,0,27.1,18.6,0,0,4.4,8.9,南西,15.3,西南西,西
2022/9/8,20,晴後一時曇,曇後一時晴,16,69,1013,1018.2,1017.1,48,9.1,21.85,0,0,24.9,13.8,0,0,1.9,4.4,南南東,6.8,西南西,北
2022/9/9,20.8,晴,晴,16.7,70,1011.4,1016.5,1014.9,43,12.1,21.93,0,0,26.9,14.8,0,0,1.7,3.3,南南東,5.7,南南東,北北西
2022/9/10,20.4,晴,晴,16,69,1015.1,1020.2,1018.1,25,12.2,22.11,0,0,26.7,15.5,0,0,3.3,7.6,南東,11.4,南東,東
2022/9/11,20.9,晴後時々曇,曇時々晴,18.8,76,1014,1019.1,1017.7,59,7.2,17.82,0,0,24.7,18.1,0,0,4.7,8.3,南東,12.6,南東,東南東
2022/9/12,22.7,曇後時々晴,曇後一時雨,21.9,80,1011.6,1016.7,1015.5,62,6.9,16.65,0,0,26.9,19.8,0,0,4.3,7.4,南東,10.9,南東,東南東
2022/9/13,23.1,曇一時雨後晴,晴,21.4,76,1009.9,1015,1013.3,56,8,17.05,0,0,28,18.2,0,0,2.8,6.9,西,10.5,西北西,北西
2022/9/14,19.1,晴,曇後晴,14.3,66,1013.8,1019,1016.2,46,11.6,20.94,0,0,23,14.6,0,0,4.2,8,北西,13.2,北北東,北西
2022/9/15,18.5,晴時々曇,曇,16,76,1011.2,1016.3,1014.5,56,8,18.2,0,0,23.3,13,0,0,1.7,3.9,南南東,5.8,南南東,北北東
2022/9/16,20.4,曇後時々雨,曇後時々雨,18.3,76,1010.2,1015.3,1014.3,65,0.1,7.68,0,0,23.8,16.5,0,0,3.3,7.3,東南東,11.2,東,東
2022/9/17,23.2,曇時々晴,曇,22.3,79,1008.9,1014,1012.4,60,7.4,15.74,0,0,27.7,19.3,0,0,1.7,3.3,南南東,5.8,東北東,北西
2022/9/18,22.1,雨時々曇,雨後時々曇,24,91,1006.3,1011.4,1007.8,71,0,4.68,15,1,25.4,19.8,0,0,1.5,3.1,南南東,5.2,西北西,北北東
2022/9/19,21.4,曇後一時雨,大雨時々曇,23.1,90,995.7,1000.7,994.1,78,0,4.49,4.5,4,24.8,16.7,0,0,2.3,7,北西,13.1,西北西,北西
2022/9/20,15,曇一時雨後晴,晴後時々曇,11.6,68,998.7,1003.8,993.7,42,6.9,16.09,38,4,19,9.1,0,0,5.3,9.7,北西,16.2,北西,北西
2022/9/21,13.4,晴時々曇,晴,10.3,69,1012.3,1017.6,1012.9,41,7.8,16.17,0,0,20.1,8.5,0,0,2.4,7,西北西,11.4,西,北北東
2022/9/22,17.1,晴後一時雨一時曇,曇時々雨,14.2,73,1017.2,1022.5,1020.4,47,10.1,19.51,0,0,22.6,8.7,0,0,5.4,10.4,東南東,15.2,南東,東南東
2022/9/23,20.1,大雨後時々曇,曇時々雨,22,94,1009.5,1014.7,1009.2,82,0,3.33,37.5,4.5,22.3,18.9,0,0,2.7,6.7,東南東,10.5,南東,東南東
2022/9/24,20.2,雨後曇時々晴,曇一時雨後晴,18.8,79,1004.2,1009.3,1006.5,51,3.7,9.31,5,1,23,16,0,0,3.8,7.9,西,11.8,西北西,西北西
2022/9/25,18.3,晴後一時雨一時曇,曇,14.4,70,1010.8,1016,1013,45,10.3,17.72,0,0,23.7,13.3,0,0,2.7,7.2,西北西,10.9,西,西北西
2022/9/26,18.2,晴一時曇,晴後時々曇,14.8,73,1011.7,1016.9,1015.7,37,9.6,18.48,0,0,24.3,13.7,0,0,2.6,6.3,西北西,9.2,南西,北北東
2022/9/27,17.8,晴時々曇,曇,14.3,71,1011.6,1016.8,1015.7,49,9.4,16.7,0,0,24.1,11.6,0,0,2.1,6.5,北西,9.6,西北西,北北東
2022/9/28,18.5,曇後晴,晴,16.2,76,1007.5,1012.7,1010.2,54,6.2,13.22,0,0,24,14.7,0,0,2.1,4.8,南南東,8.2,南南西,東南東
2022/9/29,19.1,晴後曇一時雨,晴時々曇,17.3,79,1006.9,1012,1009.7,59,4.9,12.37,0,0,24,14.2,0,0,3.1,6.8,西北西,10.3,北西,西北西
2022/9/30,20,晴,晴後一時曇,19.1,82,1011.1,1016.2,1015.1,65,8.4,15.77,0,0,24.8,15.6,0,0,2.4,5.1,西南西,8.4,南西,北北東
2022/10/1,20,晴,晴,18.3,79,1011.9,1017.1,1015.5,55,10.8,17.32,0,0,25.8,15.6,0,0,2.1,4,南西,6.4,西,西南西
2022/10/2,19.6,晴,曇時々晴,18.5,82,1016.8,1022,1018.8,62,9.6,16.39,0,0,24.2,14.9,0,0,3.4,7.3,東南東,11.5,東南東,東南東
2022/10/3,20.2,曇後一時雨一時晴,雨時々曇,19.1,81,1014,1019.2,1012.5,70,1,8.29,0,0,22.9,17.5,0,0,3.5,6.9,東南東,9.3,南東,東南東
2022/10/4,17.9,大雨,曇一時雨後晴,18.6,89,1000.5,1005.7,1001.1,70,0,1.27,65,3.5,22.1,12.1,0,0,4.9,13.9,南西,23.3,西南西,北西
2022/10/5,10.3,曇後晴時々雨,晴後曇一時雨,8.7,70,1011.4,1016.7,1009.5,50,4,9.91,0,0,13.4,5.9,0,0,3.2,7.3,西,9.7,西,西北西
2022/10/6,9.6,曇時々晴,曇時々晴,7.3,63,1016.7,1022,1020.1,33,7,13.87,0,0,15.3,5.1,0,0,2.6,8.5,西,11.7,西北西,北北西
2022/10/7,9.8,曇後一時雨,雨後曇,8.6,72,1016,1021.4,1019,46,0.2,7.26,0.5,0.5,14.6,4.8,0,0,2.1,4.7,東,7.6,北,東北東
2022/10/8,12.5,晴時々曇,晴後一時曇,8.9,63,1016.7,1022.1,1018.4,41,8.7,15.99,0,0,17.4,8.2,0,0,2.9,8.6,北西,11.3,北西,北西
2022/10/9,13.8,晴後曇時々雨,曇後時々雨,11.3,72,1021.4,1026.8,1021.9,49,4.5,10.23,0,0,17.9,6.9,0,0,4.1,8.7,東南東,15.5,東南東,東
2022/10/10,16.6,大雨,雨後時々曇,17.8,94,1004.1,1009.3,1003.2,76,0,1.4,51.5,2,18.3,14.5,0,0,5.9,13.6,東南東,22,東南東,東南東
2022/10/11,15.4,雨時々曇一時晴、雷を伴う,曇時々雨後晴,13.1,75,1002.9,1008.1,1003.9,51,4.9,11.5,10.5,4,18.9,13.5,0,0,5,11.8,西南西,24.1,南南西,西
2022/10/12,12.8,晴,晴,9.2,64,1018.8,1024.2,1016.6,42,10.1,15.22,0,0,18,7,0,0,3.8,8,西北西,13.7,西,西北西
2022/10/13,11.9,晴,晴後時々曇,10.2,74,1022.7,1028.1,1024.5,49,10.5,15.9,0,0,17.8,5.5,0,0,2,5,南東,7.9,南南東,東北東
2022/10/14,14.4,晴,曇,12.6,78,1016.7,1021.9,1019.2,55,8.2,14.31,0,0,19.9,9.2,0,0,2.9,6,東南東,8.8,南南東,北東
2022/10/15,17.3,曇一時雨後晴、雷を伴う,晴,15.4,79,1013.7,1019,1017.5,58,5.2,12.17,0,0,21.8,13,0,0,3.5,6.2,南南東,8.9,南東,東南東
2022/10/16,16.4,晴後時々曇,曇,15.1,82,1013.4,1018.6,1013.3,62,5.5,12.08,0,0,20.6,12,0,0,2.3,4.4,東南東,7,東南東,東
2022/10/17,14.1,曇時々晴一時雨,晴後一時雨,12.6,77,1003.8,1009,1004.8,48,3.9,8.83,4,3.5,20.3,6,0,0,3.3,8.3,西,17.7,西,西北西
2022/10/18,8.7,晴後時々曇,晴時々雨一時曇,6.9,63,1008.4,1013.8,1010.3,38,5.6,10.89,0,0,13.2,4.9,0,0,3.9,10.6,西),16.6,西),西北西
2022/10/19,8.8,晴一時曇,晴,7.5,70,1013.5,1018.8,1016.8,37,9.6,15.05,0,0,14.6,3.7,0,0,3.6,9.7,西北西,14.3,西,西北西
2022/10/20,12.2,晴一時曇後一時雨,晴,9.7,70,1015.7,1021,1020.1,44,5.8,10.07,0,0,16.7,5.3,0,0,4,11.1,西,16.2,西,西
2022/10/21,15.3,曇時々晴,晴時々雨一時曇,13.2,77,1015.8,1021,1017.3,49,4.7,9.75,0,0,20,10.3,0,0,2.5,6.4,西,9.2,西,西南西
2022/10/22,16.1,晴,晴後時々曇,12.8,72,1007.8,1013,1010,39,9.6,12.86,0,0,21.1,11.6,0,0,3.3,6.5,西,10.5,南西,西
2022/10/23,10.3,曇一時雨後時々晴,晴一時雨,8.1,65,1006.7,1012.1,1010.1,43,1.3,6.31,0,0,14.2,4.7,0,0,3.8,8.8,西,12.2,西,西北西
2022/10/24,7.3,晴時々雨,晴,7.2,72,1010.1,1015.5,1012.8,44,9.2,12.85,0,0,12.6,2.9,0,0,3.8,10.8,西北西,17,西,北西
2022/10/25,7.3,晴,晴,5.6,60,1020.5,1025.9,1021.2,22,10.4,14.22,0,0,13.9,2,0,0,2,6.1,東,9.2,東,北
2022/10/26,8.9,晴後一時雨一時曇,晴,7.7,69,1023.7,1029.1,1027.3,42,7.2,10.19,0,0,15,3.4,0,0,2.3,4.8,南南東,7,南南東,北北西
2022/10/27,10,曇時々晴,晴後曇一時雨,8.8,72,1020.2,1025.6,1024.2,50,5.8,10.24,0,0,15.4,3.7,0,0,2.1,4.8,南西,7.3,西南西,北
2022/10/28,12.4,晴後一時雨,雨後晴時々曇,11,78,1017.7,1023,1021.5,48,7,11.45,1.5,0.5,17.6,7.8,0,0,2.2,4.6,南東,7.1,南東,南南東
2022/10/29,10.5,晴後雨一時曇,晴時々曇,10.2,81,1016,1021.3,1020.3,60,6.5,10.38,1,0.5,14,6.9,0,0,3.4,8.1,西,12,西北西,西北西
2022/10/30,11.4,晴,晴,10,76,1016.8,1022.1,1020.7,50,8.5,12.66,0,0,17.1,6.8,0,0,3.4,7.5,北西,11.9,北西,北西
2022/10/31,11.1,晴,曇時々晴,10,76,1021.6,1027,1024.4,56,9.7,12.71,0,0,15.5,5.2,0,0,2.6,5.1,南東,7.9,東南東,東南東
2022/11/1,13.5,曇時々晴一時雨,雨後曇時々晴,10.9,72,1016.2,1021.5,1016,48,4.3,9.57,0.5,0.5,17.2,10.7,0,0,3.2,7.7,南東,11.8,南東,東南東
2022/11/2,10.6,晴一時曇,晴後曇時々雨,9,72,1011.6,1016.9,1015.1,42,9,11.38,3.5,1,14.8,6.3,0,0,2.8,6.6,西北西,10.7,西,西北西
2022/11/3,7.6,雨時々曇,曇後晴一時雪,8.5,81,1006.8,1012.2,1010,57,0,1.66,9,1,9.4,5.5,0,0,2.5,6.4,北北西,10.5,北北西,北西
2022/11/4,5,晴後時々曇一時雨,晴後曇一時雪、みぞれを伴う,5.4,63,1007.6,1013,1010,40,6.8,9.58,0,0,10,0.9,0,0,4.2,10.3,西北西,16,西北西,西北西
2022/11/5,6,雨時々曇後晴、みぞれを伴う,雨時々曇後晴,6.4,69,1010.8,1016.3,1014.8,44,5,9.69,0.5,0.5,10,0.1,0,0,3.4,9.1,西,13.5,西,西北西
2022/11/6,6.7,晴,晴後一時曇,6.8,71,1014.5,1019.9,1017.3,39,8.2,11.19,0,0,13,1.3,0,0,2.7,6.7,西北西,11.2,西,西北西
2022/11/7,6.1,晴後時々曇,晴時々曇,6.7,73,1016.3,1021.7,1019.4,50,8,10.32,0,0,12.3,0.9,0,0,1.9,3.8,北北東,5.4,西北西,西南西
2022/11/8,6.9,雨後曇時々晴,晴時々曇,8.5,85,1012.6,1018,1015.6,69,2.3,4.39,3,1,11.8,2.6,0,0,2.1,4.7,西南西,6.4,北北西,北北西
2022/11/9,8.7,晴一時曇,晴後一時曇,7.7,71,1016.2,1021.6,1019.2,42,7.4,10.19,0,0,13.4,3.3,0,0,3,7.4,西北西,10.8,西,西北西
2022/11/10,12,晴後一時曇,晴,8.3,58,1015.1,1020.4,1018.5,34,6.7,9,0,0,16.5,2.9,0,0,4.8,8.5,西北西,12.7,西,西北西
2022/11/11,5.7,晴,晴一時曇,5.8,65,1022.5,1028,1025.2,40,9.7,10.89,0,0,12.1,0.4,0,0,2.1,4.5,北西,6.1,北西,北北東
2022/11/12,9.9,晴時々曇,曇時々晴,9.4,76,1016.2,1021.5,1014.8,55,6.8,8.76,0,0,16,2.4,0,0,2.4,5.3,西南西,8.1,南南西,北北東
2022/11/13,13.4,曇時々雨,晴時々雨一時曇,12.4,79,999.4,1004.6,996.2,66,0,0.91,12,3.5,18.7,7.6,0,0,5.9,11.1,北西,22.8,西南西,北西
2022/11/14,6.6,晴時々雨後曇,曇後一時晴,6.6,68,1008,1013.4,1008.3,52,4.5,8.84,1,0.5,9.5,4.9,0,0,4.4,8.3,北西,15.1,北西,北西
2022/11/15,5.7,雨時々曇一時晴,曇後時々晴,7.5,82,1005,1010.4,1008.4,65,1.1,4.17,0,0,9.5,2.4,0,0,2,5.8,西,9.6,西北西,北
2022/11/16,3.8,晴時々曇一時雨,晴後みぞれ時々曇,5.9,74,1006.9,1012.3,1008.8,43,6.4,9.44,0,0,9.1,0.2,0,0,3.6,9.5,西,16.1,西,西北西
2022/11/17,4,晴一時曇後時々雨,晴,5.3,66,1017.2,1022.7,1017.2,44,8.1,10.5,0.5,0.5,8.7,0,0,0,3.2,8.8,西北西,12.6,西,西北西
2022/11/18,5.1,曇時々晴後雨,雨後曇時々晴,7.4,82,1018,1023.5,1020.2,58,2.6,4.89,8,3,10.3,-0.6,0,0,1.8,4.8,東南東,6.2,南西,北北東
